"model","Kest","Sensitivity","Precision","F1","cosine_R","rmse_sig","rmse_theta","rmse_Betas","sign_Betas","fp_Betas","rmse_lambda_in","rmse_lambda_out","rmse_counts_in","rmse_counts_out","time","iter","effectiveBetas","effectiveSigs","effectiveTheta","effectiveMu","effectiveSigma2","effectiveLogPost","effectiveLogLik","effectiveLogPrior","Simulation","Scenario","n","J"
"CompNMF",7,0.875,1,0.933333333333333,0.958427047253496,0.00644842396412408,116.166470046833,0.344292687420987,0,0,0.185896028334988,0.105496275079537,0.454892895440963,0.372356552633976,0.00844964186350505,3635,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_06","S0_baseline",209425,100
"SignatureAnalyzer",7,0.75,0.857142857142857,0.8,0.959260925913102,0.00586012504766464,107.218922435013,0.344292687420987,0,0,0.185892914984644,0.105503997604393,0.454892776950399,0.372360668743303,0.913858377933502,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_06","S0_baseline",209425,100
"PPF_map",8,1,1,1,0.996985444832201,0.00151173168426331,21.3843928725276,0.0150955605804265,0.975,0,0.00373501912449362,0.00484849162183985,0.322956826063441,0.327013494087253,4.32252994378408,190,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_06","S0_baseline",209425,100
"PPF_mcmc",8,1,1,1,0.996269268065247,0.00203919759156525,25.368021898377,0.014990797868028,0.975,0,0.00317212526768431,0.00449499792273033,0.32293032888862,0.327008799212592,30.8506836771965,NA,168.491284951878,316.840695282849,460.019994817821,815.584597222278,1485.53376499248,150,99.2200889301454,150,"Simulation_06","S0_baseline",209425,100
"CompNMF",7,0.875,1,0.933333333333333,0.959954909984161,0.00539429833800548,93.0377529181587,0.396040507826046,0,0,0.216366919814365,0.12731355648691,0.549180332950936,0.439457395322771,0.0095093568166097,3700,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_07","S0_baseline",274532,100
"SignatureAnalyzer",7,0.875,1,0.933333333333333,0.960799593129444,0.00497833726265126,82.8847029553298,0.396040507826046,0,0,0.216363383182314,0.127345703727892,0.549178758154804,0.439473245250147,1.66660969654719,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_07","S0_baseline",274532,100
"PPF_map",8,1,1,1,0.996741834806657,0.00127549476473389,24.9943309836416,0.0164887211128104,0.975,0.025,0.00431490598318542,0.00251355227695758,0.371430791255762,0.369083670443451,15.1332935214043,550,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_07","S0_baseline",274532,100
"PPF_mcmc",8,1,1,1,0.996894545927184,0.00132977232947251,24.8639925368365,0.0159474496695543,1,0.025,0.00372587360073408,0.00212507903731923,0.371425179358049,0.369094867793398,40.1728201985359,NA,186.438454144774,329.023225296165,523.39073315041,1026.23600017097,1493.70692287711,150,103.24412065462,150,"Simulation_07","S0_baseline",274532,100
"CompNMF",7,0.75,0.857142857142857,0.8,0.963901688708233,0.00609419329286949,145.060914835836,0.32387272095289,0,0,0.0966286476561551,0.0594494680270524,0.36800694265434,0.311649191272835,0.00477208296457926,3068,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_08","S0_baseline",190145,100
"SignatureAnalyzer",8,0.75,0.75,0.75,0.963146276985273,0.00565330159483468,82.0361077212385,0.32387272095289,0,0,0.0966275943582704,0.0594925710818113,0.36800530923268,0.311662884181342,1.04719409942627,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_08","S0_baseline",190145,100
"PPF_map",8,1,1,1,0.995899812180595,0.00172092522672937,29.4907906497906,0.0182479922303145,1,0,0.00241685810354499,0.0025429711678741,0.312436088793828,0.290114587484658,7.52310307820638,360,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_08","S0_baseline",190145,100
"PPF_mcmc",8,1,1,1,0.996437302396572,0.00211365251682932,27.6501950915793,0.0153157416197101,1,0,0.00201835159818671,0.00200620137954439,0.312436343408295,0.290106742542868,27.7088843385379,NA,167.352076840526,301.023047676628,458.489756156385,1033.57078947665,1472.15548165573,150,150,150,"Simulation_08","S0_baseline",190145,100
"CompNMF",7,0.875,1,0.933333333333333,0.963941649367908,0.00583819805343666,114.024166231154,0.324748911339868,0,0,0.0974283385923739,0.0765974839054619,0.348179009855779,0.360877652906588,0.0105140606562297,3988,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_09","S0_baseline",183283,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.961084521909747,0.00464185334591614,73.3476064078119,0.324748911339868,0,0,0.0974262482147034,0.0765633493411773,0.348179196533558,0.360881699393999,1.38741372823715,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_09","S0_baseline",183283,100
"PPF_map",8,1,1,1,0.99704389147862,0.0014940925296024,21.0215039692041,0.012811838051921,1,0,0.00278415957838062,0.00249718882522585,0.296402743525616,0.324824807112646,3.54575540622075,170,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_09","S0_baseline",183283,100
"PPF_mcmc",8,1,1,1,0.997065941206338,0.00185226448490343,21.5749696519141,0.0123328804137712,1,0,0.00252785397217584,0.00166212147126148,0.296401462044034,0.324896198203456,24.8053284962972,NA,163.939306155587,327.881718917811,442.890404360022,993.380048208149,1483.01445963254,150,109.274975567147,150,"Simulation_09","S0_baseline",183283,100
"CompNMF",7,0.875,1,0.933333333333333,0.958635996663086,0.00549402180559392,118.774043746763,0.343905647334347,0,0,0.0963658496475214,0.124047717044389,0.367684144900676,0.41517036806347,0.0168437719345093,8783,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_10","S0_baseline",210216,100
