"model","split","covariate","n_regions","cohort_rmse","cohort_cor"
0,"In-sample","No covariates",2303,58.1722180498493,0.61481149327899
1,"In-sample","+H3K9me3",2303,48.0691460181275,0.750782264506373
2,"In-sample","+RepliTime",2303,40.5640834230412,0.832152962575237
3,"In-sample","+H3K27me3",2303,38.372559598237,0.849998512668602
4,"In-sample","+H3K4me1",2303,38.3545488279985,0.850292121784168
5,"In-sample","+Methyl",2303,38.0917736371863,0.852327999913489
6,"In-sample","+GC",2303,37.5561521302125,0.856767580371302
7,"In-sample","+H3K36me3",2303,37.3806417973482,0.858195844866611
8,"In-sample","+CTCF",2303,37.3270272004048,0.858680426830641
9,"In-sample","+NuclOccup",2303,37.5569249897166,0.857138760841426
10,"In-sample","+H3K4me3",2303,37.5171870704594,0.857551251730897
11,"In-sample","+H3K27ac",2303,37.4913660769293,0.8577698594343
0,"Held-out","No covariates",564,56.3487781260178,0.580864933994503
1,"Held-out","+H3K9me3",564,46.1594264752688,0.735916753577613
2,"Held-out","+RepliTime",564,37.4521152255391,0.839202320797769
3,"Held-out","+H3K27me3",564,35.0632394500338,0.859094689624457
4,"Held-out","+H3K4me1",564,35.0512324671266,0.859268430049172
5,"Held-out","+Methyl",564,35.0697570458324,0.859351770711049
6,"Held-out","+GC",564,34.7581676532721,0.861867762463933
7,"Held-out","+H3K36me3",564,34.6530682746336,0.862708548146252
8,"Held-out","+CTCF",564,34.6109299529635,0.86309366579869
9,"Held-out","+NuclOccup",564,34.7989879651972,0.861732686805102
10,"Held-out","+H3K4me3",564,34.7262697206496,0.862385830279495
11,"Held-out","+H3K27ac",564,34.6999875347738,0.862593850050062
