model	Kest	Sensitivity	Precision	F1	rmse_sig	rmse_theta	rmse_Betas	rmse_lambda	rmse_counts	time	iter	effectiveBetas	effectiveSigs	effectiveTheta	effectiveMu	effectiveSigma2	effectiveLogPost	effectiveLogLik	effectiveLogPrior	Simulation	Scenario	n
map_TrueCovs	8	1	1	1	0.00167324768754885	17.7131211935316	0.00988271081965734	0.00235815827665115	0.0518884161156931	5.05789532264074	400	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
CompNMFBase	8	1	1	1	0.00381835428801671	38.5526314548734	0.341061740667261	0.116529472184401	0.12970252655811	0.00741407871246338	2862	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
map_CopyOnly	8	1	1	1	0.00387187728129441	41.0556186041673	0.341061740667261	0.116375412408005	0.12956280038348	1.3758372704188	420	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
map_Full	8	1	1	1	0.0016913877046779	17.7385842720745	0.0156190016268861	0.00264886396488927	0.0518596177376398	2.13684209187826	160	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
mcmc_Full	8	1	1	1	0.00304565437766261	22.5872423671178	0.0158462886322419	0.00263276045607369	0.0518336658399189	16.6298861900965	NA	250.829509049635	436.399862945045	665.778970358045	1380.69866357029	1463.11267188617	150	150	150	Simulation_01	Scenario_A_indep	84567
SignatureAnalyzer	8	1	1	1	0.00327044448628899	40.7193228669179	0.341061740667261	0.11652942843045	0.129702484340916	0.757148106892904	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
map_TrueCovs200	8	1	1	1	0.00171108806389671	17.8471415809962	0.0155926897540749	0.012030713879096	0.0527562192537563	1.45179322560628	150	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
mcmc_TrueCovs200	8	1	1	1	0.00305396075395987	22.6631580620869	0.0164063646442431	0.0120670190653581	0.0527254749018236	12.4487593889236	NA	229.859630146169	431.887202042404	661.422388932058	1339.16549426247	1445.25829796645	150	150	150	Simulation_01	Scenario_A_indep	84567
map_TrueCovs500	8	1	1	1	0.00170314915152796	17.8517503959716	0.0156313122594515	0.0210712091909852	0.0557324453150757	1.34541501601537	150	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	84567
mcmc_TrueCovs500	8	1	1	1	0.00302328882482068	22.4868544990665	0.0158348550142196	0.0211062100789402	0.0557054690793679	11.4368994752566	NA	227.730035179464	436.625000579693	659.070231067154	1426.14477138485	1489.69526026618	150	150	150	Simulation_01	Scenario_A_indep	84567
map_TrueCovs	8	1	1	1	0.00140448490222973	20.2179879466098	0.00805454941728297	0.00229818252672019	0.0567253984142195	8.26952453454336	590	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
CompNMFBase	8	1	1	1	0.00395705028448559	43.0284819535174	0.352072121086792	0.125656628268297	0.138224650240009	0.0185843507448832	6107	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
map_CopyOnly	8	1	1	1	0.00410490525375512	52.0963675093109	0.352072121086792	0.126006871082654	0.138542486801612	3.00759631792704	690	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
map_Full	8	1	1	1	0.00140369137588962	20.1684290267881	0.010208013451746	0.00284675637951277	0.0567080739995944	8.91276049216588	630	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
mcmc_Full	8	1	1	1	0.00269222377606519	22.3243375781496	0.0109959829070149	0.00256327528818684	0.0566906350465152	18.6369464278221	NA	219.120978708046	415.33017246439	563.682641450931	1398.16889790662	1482.34384114892	150	108.845626955176	150	Simulation_02	Scenario_A_indep	99755
SignatureAnalyzer	8	1	1	1	0.00377744739949513	61.6594003762585	0.352072121086792	0.12565659379833	0.138224618232223	1.18668098449707	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
map_TrueCovs200	8	1	1	1	0.00139645040391451	20.1261952946308	0.0103309087824494	0.0145365153779837	0.0584005616613786	7.21337740023931	630	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
mcmc_TrueCovs200	8	1	1	1	0.00264448479483124	22.1502323739666	0.0108593583019193	0.0144841872613085	0.0583907652053568	16.5054227948189	NA	204.754038260581	412.63407888761	554.662601050311	1403.54238534289	1405.20855699009	150	235.25835424675	150	Simulation_02	Scenario_A_indep	99755
map_TrueCovs500	8	1	1	1	0.00142744367205512	20.141744507695	0.0104386639349651	0.0246679707478563	0.0617110490231587	7.07004586060842	630	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	99755
mcmc_TrueCovs500	8	1	1	1	0.00273288134852408	22.3978591535708	0.0109884620392151	0.0246339578606539	0.0616952312171161	13.6667825102806	NA	205.862709796178	412.162631381198	551.62487129134	1419.75188807241	1436.39498252047	109.003260779622	150	112.155785677647	Simulation_02	Scenario_A_indep	99755
map_TrueCovs	8	1	1	1	0.00150708354675828	21.1977658849273	0.0113334093556029	0.00278619206791658	0.0535199333200727	12.5320730686188	990	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
CompNMFBase	8	1	1	1	0.00365449279736469	45.1726205287625	0.328754882202466	0.146118572470612	0.156194156012094	0.0106149395306905	2842	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
map_CopyOnly	8	1	1	1	0.00369219786900119	42.7594307731411	0.328754882202466	0.145829436413618	0.155936692329049	5.76686265468597	1480	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
map_Full	8	1	1	1	0.00150851801581655	21.2317722001713	0.0145003712520936	0.00308860665314327	0.0535087477005971	14.0717856685321	990	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
mcmc_Full	8	1	1	1	0.0027494504282892	25.3969800544273	0.0155184974230682	0.00373100783086155	0.0534962975942976	17.9444948712985	NA	216.559495008353	420.445564514337	581.059063239211	1381.45728653311	1562.34135532742	150	316.761765664769	150	Simulation_03	Scenario_A_indep	93688
SignatureAnalyzer	8	1	1	1	0.00305439451479732	54.0861516701893	0.328754882202466	0.146118563815681	0.156194126418778	0.717903733253479	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
map_TrueCovs200	8	1	1	1	0.00151617336131943	21.351753371959	0.0145256380296181	0.0205852245762165	0.0570832400075413	13.1961895902952	1050	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
mcmc_TrueCovs200	8	1	1	1	0.00273244005802404	25.5475783623086	0.0155358854177861	0.0206871163079992	0.0570817499362825	15.4821043888728	NA	211.721929814011	423.701754720122	564.695171393648	1314.32420779824	1601.46277241241	150	160.681561892657	215.919879197654	Simulation_03	Scenario_A_indep	93688
map_TrueCovs500	8	1	1	1	0.00152956133021973	21.3336706050877	0.0147395842577409	0.0370084617981075	0.064079538027772	10.3055494626363	1020	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	93688
mcmc_TrueCovs500	8	1	1	1	0.00276171991451624	25.6246160132146	0.0154507866778236	0.037095525854114	0.0640809896260253	13.4885215878487	NA	214.87296676602	418.289167002933	559.922129863001	1360.4400679933	1399.38704219993	150	150	116.290251140849	Simulation_03	Scenario_A_indep	93688
map_TrueCovs	8	1	1	1	0.00158869754038063	20.5753026342086	0.00911308490018592	0.00157644797150753	0.051770845880856	6.51489653984706	540	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
CompNMFBase	8	1	1	1	0.0027894477123906	36.2220983322637	0.298083060363519	0.0702215730820825	0.08732052412971	0.00301899115244548	3689	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
map_CopyOnly	8	1	1	1	0.00283275811096252	38.844464395739	0.298083060363519	0.0701903656562786	0.0872799458255511	1.16083037058512	450	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
map_Full	8	1	1	1	0.00158440043361021	20.5362731428641	0.0130191850831943	0.00239961851537316	0.0517269876383331	5.28245095014572	440	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
mcmc_Full	8	1	1	1	0.00231047705690379	27.3093183018346	0.0144079282957422	0.00229192878044973	0.0517234800113502	17.5579954425494	NA	221.875549622117	332.315421717374	567.845548103396	1409.29985997737	1483.51300839965	201.62212834268	150	150	Simulation_04	Scenario_A_indep	86485
SignatureAnalyzer	8	1	1	1	0.00269325559520659	40.4321346694631	0.298083060363519	0.0702215312803162	0.0873204798323938	0.53616296450297	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
map_TrueCovs200	8	1	1	1	0.00158698659966947	20.4880863974097	0.0130140812663318	0.00722191052221863	0.0520558269397461	4.73761237462362	480	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
mcmc_TrueCovs200	8	1	1	1	0.0023610276956455	27.5513897148761	0.0144542820167932	0.00719011627264161	0.0520517678549238	12.8709204673767	NA	222.102162160732	329.715924592268	563.096918976125	1478.82403731723	1433.8788386349	150	256.1449083435	150	Simulation_04	Scenario_A_indep	86485
map_TrueCovs500	8	1	1	1	0.00157212553412746	20.3259527288828	0.0128188019226081	0.0119466334603757	0.0529861358686408	6.18845492601395	690	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	86485
mcmc_TrueCovs500	8	1	1	1	0.00231306387209093	27.3242833019126	0.0142224831330187	0.0119231350288853	0.0529831201188627	12.1193630377452	NA	230.049343653331	331.300167272787	555.52390393937	1407.68176427444	1470.73033639802	150	150	150	Simulation_04	Scenario_A_indep	86485
map_TrueCovs	8	1	1	1	0.00143797679581536	19.8931803869436	0.0103142588902237	0.00282863528567492	0.0550268881265042	4.95752687056859	360	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
CompNMFBase	8	1	1	1	0.00323532899701475	39.6238976538285	0.335577016267604	0.114247356787032	0.125039741517651	0.0105384508768717	4566	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
map_CopyOnly	8	1	1	1	0.00320832596988423	39.9030190896031	0.335577016267604	0.11477718007154	0.125468656622498	5.88081071774165	1430	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
map_Full	8	1	1	1	0.00146526173345282	20.0030095920281	0.0130446385421152	0.00312457226845965	0.0550113726009244	9.56997450987498	630	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
mcmc_Full	8	1	1	1	0.00275823172520726	26.290509206378	0.0143952481980227	0.00277807459769377	0.0550186628851663	17.0032231767972	NA	230.977098998433	388.912583047287	606.663207059488	1305.10721157732	1448.85787963092	150	150	150	Simulation_05	Scenario_A_indep	95667
SignatureAnalyzer	8	1	1	1	0.00279362636620606	32.2067244419672	0.335577016267604	0.114247316322909	0.125039708182988	0.494150606791178	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
map_TrueCovs200	8	1	1	1	0.00146197209460138	20.078854978925	0.012982901817951	0.0124426662142599	0.0562168973400553	5.4885822335879	480	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
mcmc_TrueCovs200	8	1	1	1	0.00273985144662041	26.3599037296092	0.0146273625458886	0.0123742586133482	0.0562156859901629	14.704623957475	NA	233.053029945091	392.610090758112	610.399704659662	1467.37168221634	1474.66617757079	108.464832906619	150	298.998115122072	Simulation_05	Scenario_A_indep	95667
map_TrueCovs500	8	1	1	1	0.0014654853297044	20.1428017070153	0.013047498538502	0.0217365703783783	0.0584092562352083	3.53328652779261	330	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	95667
mcmc_TrueCovs500	8	1	1	1	0.00277339393627089	26.3456961873259	0.0140673678384924	0.0216926910043492	0.0584113548541746	13.258770386378	NA	229.171392266965	386.207367637429	603.470300711053	1392.46936792682	1482.48978452053	150	150	150	Simulation_05	Scenario_A_indep	95667
map_TrueCovs	8	1	1	1	0.00145741544521144	16.3737914442401	0.00843364258282338	0.00178972364354122	0.0467178991586812	2.8541205684344	260	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
CompNMFBase	8	1	1	1	0.00278810430335338	22.8673236269143	0.304562963834238	0.0433070186341631	0.0636428917129365	0.0101861238479614	5286	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
map_CopyOnly	8	1	1	1	0.00294819380818404	24.2803312913493	0.304562963834238	0.0429704852068809	0.0634215310684008	0.838444455464681	440	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
