model	Kest	Sensitivity	Precision	F1	rmse_sig	rmse_theta	rmse_Betas	rmse_lambda	rmse_counts	time	iter	effectiveBetas	effectiveSigs	effectiveTheta	effectiveMu	effectiveSigma2	effectiveLogPost	effectiveLogLik	effectiveLogPrior	Simulation	Scenario	n
map_Full	8	1	1	1	0.00145457085428551	16.3305974508758	0.0121664300625543	0.00209906187308148	0.0467091683411587	3.5934163014094	280	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
mcmc_Full	8	1	1	1	0.00212358417389472	18.1539594113365	0.0125770916946517	0.00185215435652694	0.0467043130865976	16.1344778974851	NA	214.954577562774	400.890733561479	575.2070835677	1366.6150879598	1460.42490117909	150	150	201.584318388047	Simulation_06	Scenario_A_indep	70606
SignatureAnalyzer	8	1	1	1	0.0024786262040252	28.6593967296736	0.304562963834238	0.0433068450426574	0.0636428001769146	0.312094096342723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
map_TrueCovs200	8	1	1	1	0.0014540371847216	16.3091290043251	0.0122704716023195	0.00490765788511365	0.0468334170432874	2.70355025529861	280	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
mcmc_TrueCovs200	8	1	1	1	0.00214306324521618	18.3636410615489	0.0128369795850993	0.00480415574271685	0.0468240082612513	11.3676029523214	NA	215.95327872261	397.777404238351	574.957472703671	1432.99609705651	1504.1402083328	150	197.613681340032	150	Simulation_06	Scenario_A_indep	70606
map_TrueCovs500	8	1	1	1	0.00145958751145545	16.3744320165463	0.012236917301365	0.0082404524033986	0.0471987448674173	2.09833062887192	280	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	70606
mcmc_TrueCovs500	8	1	1	1	0.00217195062640297	18.470044963494	0.0127604748641892	0.00818143346078691	0.0471902029934273	9.40477879444758	NA	215.400444255257	404.157042366711	573.445206089149	1262.76394197825	1414.25631226876	188.354210331834	150	135.584677726822	Simulation_06	Scenario_A_indep	70606
map_TrueCovs	8	1	1	1	0.00112806250766212	20.2339424617455	0.00991442515863078	0.00245026151253347	0.0537124916051629	3.01923596858978	240	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
CompNMFBase	8	1	1	1	0.00305793182924829	46.7131406414277	0.352665548778882	0.0911705158325829	0.105417662027445	0.00779475371042887	2646	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
map_CopyOnly	8	1	1	1	0.00309489066444298	47.6323853356893	0.352665548778882	0.0907962799284344	0.105106769118876	2.24901615778605	770	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
map_Full	8	1	1	1	0.00113627474835402	20.3618153831693	0.0143802263958677	0.00296051651236825	0.0536656863105689	3.800752445062	250	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
mcmc_Full	8	1	1	1	0.00167536359369944	26.2179448277258	0.0151181365782303	0.00266252321934923	0.0536550067078115	17.6143509984016	NA	241.777823202342	405.110389834751	650.647797881141	1475.68895941258	1484.34773296719	150	150	150	Simulation_07	Scenario_A_indep	91682
SignatureAnalyzer	8	1	1	1	0.00273288277967148	46.3442893932478	0.352665548778882	0.0911704764464798	0.105417631144441	0.508725003401438	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
map_TrueCovs200	8	1	1	1	0.00113671876219105	20.3192211182167	0.0141420604336315	0.00930665360592606	0.0542898849716193	2.50702490409215	250	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
mcmc_TrueCovs200	8	1	1	1	0.00168366881985157	26.169543948068	0.0150576159857309	0.00923710055409476	0.0542765338874811	13.7375281532605	NA	241.448081860972	406.569919302879	653.655396298494	1439.70910571806	1515.5675948214	210.929361286954	150	150	Simulation_07	Scenario_A_indep	91682
map_TrueCovs500	8	1	1	1	0.00114512557675491	20.3008090639763	0.0142247325189512	0.0148939619380204	0.0555091288495906	2.42037476301193	250	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	91682
mcmc_TrueCovs500	8	1	1	1	0.00168666103103897	26.4212715923244	0.0151004554902935	0.0148465477052646	0.0554996389674595	12.6450786352158	NA	251.180867267295	406.63167733284	651.451279299262	1437.08471712467	1485.9536441946	150	139.812365307804	150	Simulation_07	Scenario_A_indep	91682
map_TrueCovs	8	1	1	1	0.00116696263270675	20.5480237445749	0.00855458819236247	0.00206622158538455	0.0561781298710809	3.44256136417389	220	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
CompNMFBase	8	1	1	1	0.00232268157532428	33.9697845970381	0.37871310848113	0.108789164083253	0.12243681369181	0.00443119208017985	5073	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
map_CopyOnly	8	1	1	1	0.00257367781014737	43.1916443651679	0.37871310848113	0.107258197571335	0.121062421345227	3.85876401662827	960	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
map_Full	8	1	1	1	0.00117402011037083	20.5899751079638	0.0105867514213514	0.00249215197156251	0.0561761004638604	3.27857763767242	220	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
mcmc_Full	8	1	1	1	0.00195367340564357	23.7765807147006	0.0119728191984566	0.00223112916836583	0.0561857739233689	19.4468504230181	NA	229.684482321013	438.597158111108	635.623221457848	1411.71690201393	1573.08408996019	150	150	150	Simulation_08	Scenario_A_indep	100199
SignatureAnalyzer	8	1	1	1	0.00222187540957636	51.6877765816859	0.37871310848113	0.10878913644725	0.122436792945361	0.741055154800415	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
map_TrueCovs200	8	1	1	1	0.00119014590625027	20.5766523562375	0.0106691429727991	0.0116894798919448	0.0573330971901154	2.61814411878586	220	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
mcmc_TrueCovs200	8	1	1	1	0.00197549832323692	23.8281998336613	0.0117663161736259	0.0116470094573005	0.0573406856306062	14.6281904776891	NA	238.323075340018	433.503121299837	631.255338460301	1394.60870302507	1399.80147791474	150	150	150	Simulation_08	Scenario_A_indep	100199
map_TrueCovs500	8	1	1	1	0.00118013889720049	20.5157212278841	0.0105975168049086	0.0217911225294054	0.0601278513386951	1.59161342779795	230	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	100199
mcmc_TrueCovs500	8	1	1	1	0.00196028206807076	24.0436509159399	0.0113851227877931	0.0217717584009933	0.0601354314187308	14.651175347964	NA	221.580917918532	432.272604969572	632.830083922125	1422.22150688328	1448.9032451882	150	150	171.102280477741	Simulation_08	Scenario_A_indep	100199
map_TrueCovs	8	1	1	1	0.00149466234863019	23.246554710645	0.00871047879701362	0.00251128432637966	0.0579805630582137	15.4667339046796	920	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
CompNMFBase	8	1	1	1	0.00225940642436815	30.7954870496234	0.396810868077444	0.136429643226091	0.148212587595455	0.0028221050898234	3776	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
map_CopyOnly	8	1	1	1	0.00230411344360339	30.8206561412577	0.396810868077444	0.135645769006116	0.147497393635316	1.93204684257507	410	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
map_Full	8	1	1	1	0.00149267101096595	23.2675754531394	0.0122940136174463	0.00296423883178107	0.0579527430711935	10.8520560542742	640	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
mcmc_Full	8	1	1	1	0.00206468918463318	28.6038001452946	0.0147899340971583	0.00270084822368225	0.0579385452822598	20.9410477320353	NA	263.311790890079	427.77898132755	707.309140762002	1337.40083578191	1458.04082321294	215.989669708644	272.194576447547	150	Simulation_09	Scenario_A_indep	109055
SignatureAnalyzer	8	1	1	1	0.00213164143073222	29.4524748577417	0.396810868077444	0.136429611252137	0.148212564915513	1.00564273198446	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
map_TrueCovs200	8	1	1	1	0.00148746781296631	23.1308199661939	0.0123341490713127	0.0192126565094471	0.060921655903641	9.33408293326696	710	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
mcmc_TrueCovs200	8	1	1	1	0.00204228159662675	28.3165533271586	0.0143008903247661	0.0191840606303217	0.0609119968877792	17.2486518144608	NA	271.533826542473	425.847784336596	702.68209469183	1282.17206099735	1527.25473184386	150	147.999951125737	147.757809252835	Simulation_09	Scenario_A_indep	109055
map_TrueCovs500	8	1	1	1	0.00147604905191929	22.941637182303	0.0125194010779681	0.0306119629568053	0.0650113581204975	13.2994493365288	1080	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	109055
mcmc_TrueCovs500	8	1	1	1	0.0020832487637548	28.1919195115954	0.0145877767271773	0.0306033719182354	0.0650037635278526	14.6974343101184	NA	274.48197061957	427.345030247339	717.328437707785	1365.14909324412	1471.38882174006	150	150	150	Simulation_09	Scenario_A_indep	109055
map_TrueCovs	8	1	1	1	0.00173335334999672	17.898537769444	0.0084295963563053	0.00184423700275204	0.050030014721721	6.41916649341583	570	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
CompNMFBase	8	1	1	1	0.00323630366307721	27.8521244874152	0.294004060257784	0.0573831692240151	0.0757066639462149	0.00624932448069255	8577	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
map_CopyOnly	8	1	1	1	0.0033078602667151	27.9599828812716	0.294004060257784	0.0568346728053771	0.0753002930633343	1.23185474077861	460	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
map_Full	8	1	1	1	0.00173291130225933	17.8628755006319	0.0136419200768133	0.00217356301072209	0.0500241303777433	8.63492251634598	650	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
mcmc_Full	8	1	1	1	0.00252739644101907	22.8668573051679	0.0146081765138193	0.00182809174769371	0.0500158492175266	15.9927950620651	NA	222.350716526833	323.036953593983	618.225285633387	1314.2850909886	1500.98169997126	150	150	150	Simulation_10	Scenario_A_indep	78802
SignatureAnalyzer	8	1	1	1	0.00298025914513353	26.1099535989709	0.294004060257784	0.0573830811192429	0.0757065858608113	0.497039004166921	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
map_TrueCovs200	8	1	1	1	0.00172997194163687	17.9233187768506	0.0134510328364528	0.00572759466595977	0.0502680838378806	6.21646544535955	640	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
mcmc_TrueCovs200	8	1	1	1	0.00254035156781074	22.7839941255706	0.0137316128187416	0.005594634129465	0.050259509488597	12.2777384122213	NA	218.111132542089	324.840479335115	615.657915410686	1277.97642582425	1431.11852307603	334.983385145926	226.829028913122	150	Simulation_10	Scenario_A_indep	78802
map_TrueCovs500	8	1	1	1	0.00173773358487269	17.9007882880938	0.0131524141265927	0.00943073815158922	0.050770447816356	5.49693149328232	640	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	78802
mcmc_TrueCovs500	8	1	1	1	0.00258751860567057	23.1560189604224	0.013599175465005	0.00936077814021534	0.0507615718714515	10.657761434714	NA	220.928709882846	324.127470325209	618.425646873262	1380.47602494541	1402.60913655924	150	150	150	Simulation_10	Scenario_A_indep	78802
map_TrueCovs	8	1	1	1	0.00139072455513116	21.4314608814912	0.00779530682886311	0.00398696805494481	0.0571779825048357	9.52877955039342	670	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
CompNMFBase	8	1	1	1	0.00426312067917947	50.6480016160432	0.369771774130008	0.138955024239963	0.148090365900421	0.0138770977656047	4702	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
map_CopyOnly	8	1	1	1	0.00381920910451957	47.7127443856529	0.369771774130008	0.138935800893195	0.148095835888613	2.60213549137115	600	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
map_Full	9	1	1	1	0.010015274889724	236.624836163351	0.15727948984749	0.00455214207269187	0.0571564524482948	13.5796922008197	930	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
mcmc_Full	8	1	1	1	0.00209216471258401	26.1926121727363	0.0137483022525494	0.00362792544302834	0.0571703729405251	18.873731637001	NA	219.418438217037	370.71197225466	678.198203471187	1494.4393442674	1449.36732509387	176.3966061466	150	176.253617937162	Simulation_11	Scenario_A_indep	105201
SignatureAnalyzer	8	1	1	1	0.00304408854204998	47.677067888818	0.369771774130008	0.138954976132731	0.148090343751786	0.787387065092723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
map_TrueCovs200	8	1	1	1	0.00139957233978675	21.5168209728769	0.0120186999112545	0.0159880852070359	0.0589679849653021	18.5394278764725	1400	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
mcmc_TrueCovs200	8	1	1	1	0.00210057299779174	26.2428639733863	0.0137277142067478	0.0158383535137649	0.0589821641447851	17.0477332790693	NA	216.454387197309	367.076097959412	667.06150835645	1448.76135335662	1389.02037717621	150	150	153.806784270113	Simulation_11	Scenario_A_indep	105201
map_TrueCovs500	8	1	1	1	0.00140010972845758	21.5030311850841	0.0117777783916168	0.025360257763557	0.0618253803204273	11.4712537606557	1000	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_11	Scenario_A_indep	105201
mcmc_TrueCovs500	8	1	1	1	0.00208988046454398	26.3479365035939	0.0131722890539917	0.0252704135392721	0.0618322180367327	14.6319077690442	NA	217.05183069192	370.934133574869	663.571836345337	1489.47601221137	1454.12053455208	192.841635376989	150	200.333422680959	Simulation_11	Scenario_A_indep	105201
map_TrueCovs	8	1	1	1	0.00132630397133554	25.744274213947	0.0102120335966952	0.00240546819672674	0.0610981784265074	12.7119035641352	740	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_12	Scenario_A_indep	122674
CompNMFBase	8	0.875	0.875	0.875	0.00352701987029638	55.4157891455089	0.377171420756636	0.214093363452732	0.222520800526055	0.00281388362248739	3532	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_12	Scenario_A_indep	122674
