"signature","mu","mu_low","mu_high","supported"
"SBS2",570.907431428795,502.696873303446,649.315903966515,TRUE
"SBS3",567.296166627445,499.048795236089,648.808775687025,TRUE
"SBS13",539.156433972683,474.245988817472,611.443659917711,TRUE
"SBS5",424.885974258555,371.763859504121,486.154488737675,TRUE
"SBS40a",393.336494037186,342.98131978608,449.91854980268,TRUE
"SBS8",193.598600480978,168.813163424996,221.265050177053,TRUE
"SBS1",187.036581240582,163.8368137067,213.071481230425,TRUE
"SBS18",118.189944821387,103.319257487647,135.26463435339,TRUE
"SBS26",63.376785347429,54.9564400039339,72.8125014185694,TRUE
"SBS30",51.4383798972661,44.414480596913,59.3223017529873,TRUE
"SBS17b",12.185261659725,10.4415328584169,14.1064932984552,TRUE
"SBS17a",0.00100335745910367,0.000838984057422182,0.00120137808584479,FALSE
"SBS6",0.00100224215216071,0.00083380276300864,0.00120769309032493,FALSE
"SBS44",0.00100168855237347,0.000834581716956809,0.00119842225311875,FALSE
"SBS20",0.00100032009381042,0.000834842424313755,0.00120083730257955,FALSE
