"class","width","n_regions","obs_total","exp_total","mean_exp","D","sd_D","z_D","cv_excess","trim","D_trim","cv_excess_trim","top_share","max_share"
"all",1999.99943220409,1391345,707104,704586.410962529,0.506406686308952,1.17718427970036,0.00170503923470415,103.918007336123,0.591511071800399,0.001,1.07821534531579,0.392991069243511,0.0849882929115036,0.00411810197790792
"all",10000,278768,707104,704586.410962529,2.52750104374436,1.45030576072295,0.00294324134035035,152.996546545296,0.422092931750101,0.001,1.28703750779391,0.336975844266615,0.113463219969712,0.0286711012616933
"all",1e+05,28108,707104,704586.410962529,25.0671129558321,3.05478536612385,0.00852624938362371,240.995222362421,0.286306411090736,0.001,2.8181081366659,0.269255084730236,0.0783965093489598,0.0124408157343281
"all",1e+06,2867,707104,704586.410962529,245.757380872874,13.9012022037103,0.0264553875426013,487.658787191659,0.229119369793035,0.001,13.4548522407287,0.22505862362841,0.0331215227618807,0.0146239046288811
"all",1e+07,308,707104,704586.410962527,2287.6182174108,49.1951628422245,0.0805993971714425,597.959346267924,0.145147631281377,0.001,46.7804622009466,0.141454266544513,0.0521714963531037,0.0521714963531037
