"region_share","n_regions","misfit_share","D_remaining"
0.0001,1,0.0310576117157449,5.93487680445137
0.001,3,0.0768746398233319,5.65819105102051
0.01,29,0.195484803320344,4.97636010701619
0.05,143,0.414467311097552,3.77340987358097
