"scale","D_no_covariates","D_with_covariates","rate_error_no_covariates_pct","rate_error_with_covariates_pct","variance_explained_pct"
"2 kb",1.17718427970036,1.16693758274658,59.1511071800399,57.4060532310143,5.81329095913476
"10 kb",1.45030576072295,1.37279706628477,42.2092931750101,38.3990885416823,17.2390108865103
"100 kb",3.05478536612385,2.12795082460338,28.6306411090736,21.2091502474725,45.12375437488
"1 Mb",13.9012022037103,6.12297161423608,22.9119369793035,14.4357061957394,60.3034780990241
"10 Mb",49.1951628422245,20.9616378229633,14.5147631281377,9.33978023262418,58.5949408916088
