"scenario","signature","partner","cosine","present","mu","m"
"K20_c0_10","SigN10","SigN11",0.987828206274025,TRUE,30.5128869289118,4692
"K20_c0_10","Extra01","SigN08",0.995170414765942,TRUE,111.977589661829,13798
"K20_c0_10","Extra02","SigN05",0.705455043420854,TRUE,269.643460108044,53875
"K20_c0_10","Extra03",NA,NA,FALSE,NA,NA
"K20_c0_1","SigN01","SigN01",0.999833294664128,TRUE,733.755118837109,161730
"K20_c0_1","SigN02","SigN04",0.999986352214181,TRUE,354.022390798264,96502
"K20_c0_1","SigN03","SigN02",0.997346896665336,TRUE,626.091957728746,154606
"K20_c0_1","SigN04","SigN03",0.986306656572405,TRUE,451.112142980022,108426
"K20_c0_1","SigN05",NA,NA,FALSE,NA,NA
"K20_c0_1","SigN06","SigN05",0.946420690834655,TRUE,258.397793409858,60040
"K20_c0_1","SigN07","SigN06",0.999344034355875,TRUE,214.12187026548,50411
"K20_c0_1","SigN08","SigN09",0.997267115058747,TRUE,91.7530707223387,15985
"K20_c0_1","SigN09","SigN10",0.999410533747248,TRUE,54.7884291890405,9405
"K20_c0_1","SigN10","SigN11",0.971741247687009,TRUE,24.1307888683396,3506
"K20_c0_1","Extra01","SigN08",0.994561019080532,TRUE,111.541080823825,13569
"K20_c0_1","Extra02","SigN07",0.70532184424399,TRUE,170.838672443109,32924
"K20_c0_1","Extra03",NA,NA,FALSE,NA,NA
