"scenario","Kmax","c0","d0","n_selected","min_mu","matched","mean_cosine","iterations","sec_per_iter","hours"
"reference",12,100,1,10,34.4148361170116,10,1,1890,10.6695449311897,5.6015110888746
"K15",15,100,1,13,13.6456922719114,8,0.943611439054395,2270,16.0830375967572,10.1412487068441
"K20",20,100,1,11,29.7645804482935,9,0.976103664956108,2110,16.4495137346864,9.64124277227455
"K12_c0_10",12,10,0.1,12,27.9973908464984,10,0.981009803471281,1140,9.7326450163858,3.08200425518884
"K12_c0_1",12,2,0.01,12,27.8686741364799,10,0.98114431622384,1130,9.13163848703941,2.86631985843182
"K20_c0_10",20,10,0.1,11,30.5128869289118,9,0.976030754763881,2380,15.9232598074344,10.5270439838039
"K20_c0_1",20,2,0.01,11,24.1307888683396,9,0.966717360949615,2870,15.7725142748929,12.5741988802618
